city	state	zip	latitude	longitude	avgMurderCount	avgNegligentManSlaughter	avgForcibleSexOffense	avgNonForcibleSexOffense	avgRobbery	avgAggravatedAssault	avgBurglary	avgVehicleTheft	avgArson	avgWeaponOffense	avgDrugViolations	avgLiquorViolations
Savoy	IL	61874	40.061694	-88.25023	0	0	0	0	0	0	0	0	0	0	0	0
Scarborough	ME	04074	43.583224	-70.35268	0	0	0	0	0	0	0	0	0	0	0	0
Schaumburg	IL	60173	42.051927	-88.04814	0	0	0	0	0	2.56	7.69	0	0	0	2.56	0
Schaumburg	IL	60196	42.056376	-88.072522	0	0	0	0	0	0	0	0	0	0	0	0
Schenectady	NY	12304	42.779026	-73.90507	0	0	0	0	0	0	0	0	0	0	0	0
Schenectady	NY	12305	42.814476	-73.94337	0	0	0	16.67	50	16.67	33.33	33.33	33.33	16.67	0	0
Schenectady	NY	12308	42.820909	-73.92002	0	0	55.56	0	88.89	66.67	822.22	83.33	0	0	0	0
Schererville	IN	46375	41.492085	-87.4519	0	0	0	0	0	0	0	0	0	0	0	0
Schnecksville	PA	18078	40.675741	-75.61626	0	0	0	0	0	0	0	0	11.11	0	0	0
Schofield Barracks	HI	96857	24.859832	-168.021815	0	0	0	0	0	0	0	0	0	0	0	0
Schulenburg	TX	78956	29.680723	-96.91964	0	0	0	0	0	0	0	0	0	0	0	0
Schuylkill Haven	PA	17972	40.614771	-76.19352	0	0	66.67	0	0	33.33	866.67	16.67	0	33.33	383.33	1116.67
Scooba	MS	39358	32.838485	-88.48707	0	0	0	0	0	0	650	0	0	100	333.33	66.67
Scotch Plains	NJ	07076	40.637152	-74.37493	0	0	0	0	0	0	0	0	0	0	0	0
Scott Afb	IL	62225	38.544298	-89.85054	0	0	0	0	0	0	0	0	0	0	0	0
Scott Depot	WV	25560	38.446225	-81.90315	0	0	0	0	0	0	0	0	0	0	0	0
Scotts Valley	CA	95066	37.057575	-122.01507	0	0	0	0	0	0	0	0	0	0	0	0
Scottsbluff	NE	69361	41.885553	-103.65241	0	0	20	0	60	0	0	0	0	0	40	200
Scottsdale	AZ	85250	33.521433	-111.90944	0	0	0	0	0	0	0	0	0	0	0	0
Scottsdale	AZ	85251	33.494152	-111.92079	0	0	0	0	0	0	0	0	0	0	11.11	22.22
